?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/HP_0003740>	"Myotonia that occurs after a period of rest and decreases with continuing exercise."	"UMLS:C4025575"
<http://purl.obolibrary.org/obo/HP_0001245>	"Underdevelopment of the thenar eminence with reduced palmar soft tissue mass surrounding the base of the thumb."	"UMLS:C1846474"
<http://purl.obolibrary.org/obo/HP_0000341>	"Width of the forehead or distance between the frontotemporales is more than two standard deviations below the mean (objective); or apparently narrow intertemporal region (subjective)."	"UMLS:C1839758"
<http://purl.obolibrary.org/obo/HP_0040197>	"Encephalomalacia is the softening or loss of brain tissue after cerebral infarction, cerebral ischemia, infection, craniocerebral trauma, or other injury."	"UMLS:C0014068 SNOMEDCT_US:58762006 MSH:D004678"
<http://purl.obolibrary.org/obo/HP_0008929>		"UMLS:C4024614"
<http://purl.obolibrary.org/obo/HP_0031256>	"An arteriovenous malformation is a disruption of the normal vascular pattern in which arteries or arterioles connect directly to the venous collection system, bypassing any capillary bed. This term refers to an arteriovenous malformation located in the optic nerve."	
<http://purl.obolibrary.org/obo/HP_0012144>	"Any structural anomaly of a myeloid mononuclear recirculating leukocyte that can act as a precursor of tissue macrophages, osteoclasts and some populations of tissue dendritic cells."	"UMLS:C4023025"
<http://purl.obolibrary.org/obo/HP_0025449>	"Abnormal location of the insertion of the anterolateral papillary muscle near to the apex of the left ventricle. This feature may be appreciated by noting that this muscle is usually not seen in the apical level of the parasternal short-axis echocardiographic view,"	
<http://purl.obolibrary.org/obo/HP_0025193>	"A posterolateral defect in the diaphragm, commonly referred to as a Bochdalek hernia, which is often accompanied by herniation of the stomach, intestines, liver, and/or spleen into the chest cavity."	
<http://purl.obolibrary.org/obo/HP_0003310>	"Abnormality of the dens of the axis, which is also known as the odontoid process."	"UMLS:C1864794"
<http://purl.obolibrary.org/obo/HP_0000980>	"Abnormally pale skin."	"MSH:D010167 UMLS:C0030232 SNOMEDCT_US:398979000"
<http://purl.obolibrary.org/obo/HP_0006913>	"Atrophy of the frontal cortex."	"UMLS:C4024965"
<http://purl.obolibrary.org/obo/HP_0030521>		"MSH:D006423 UMLS:C0221184 SNOMEDCT_US:61917005"
<http://purl.obolibrary.org/obo/HP_0032130>	"Mycobacterium abscessus complex comprises a group of rapidly growing, multidrug-resistant, nontuberculous mycobacteria that are responsible for a wide spectrum of skin and soft tissue diseases, central nervous system infections, bacteremia, and ocular and other infections."	
<http://purl.obolibrary.org/obo/HP_0011365>	"Reduced pigmentation of hair in patches."	"UMLS:C4023395"
<http://purl.obolibrary.org/obo/HP_0010146>		"UMLS:C4024013"
<http://purl.obolibrary.org/obo/HP_0040121>	"An abnormality in the reflexive contraction of the middle-ear muscles in response to sound stimulation."	"UMLS:C4022426"
<http://purl.obolibrary.org/obo/HP_0007929>	"Separation of the inner layers of the retina (neural retina) from the pigment epithelium occuring near the outer limit (periphery) of the retina."	"UMLS:C4024771"
<http://purl.obolibrary.org/obo/HP_0031354>	"Difficulty initiating sleep, that is, increased sleep onset latency."	
<http://purl.obolibrary.org/obo/HP_0002938>	"An abnormal accentuation of the inward curvature of the spine in the lumbar region."	"UMLS:C1184923"
<http://purl.obolibrary.org/obo/HP_0012771>	"Increased length of the arm span (length from one end of an individual's arms measured at the fingertips to the other when raised parallel to the ground at shoulder height at a one-hundred eighty degree angle)."	"UMLS:C4022729"
<http://purl.obolibrary.org/obo/HP_0011542>	"Criss-cross atrioventricular valves with a rare cardiac malformation characterized by the two ventricles lying one above the other instead of side by side."	"UMLS:C4023309"
<http://purl.obolibrary.org/obo/HP_0004914>	"Recurrent episodes of decreased concentration of glucose in the blood occurring during the infantile period."	"UMLS:C4021644"
<http://purl.obolibrary.org/obo/HP_0009592>	"Astrocytoma is a neoplasm of the central nervous system derived from astrocytes. Astrocytes are a type of glial cell, and thus astrocytoma is a subtype of glioma."	"MSH:D001254 UMLS:C0004114 SNOMEDCT_US:38713004"
<http://purl.obolibrary.org/obo/HP_0010145>		"UMLS:C4024014"
<http://purl.obolibrary.org/obo/HP_0031686>	"An abnormally elevated amount of alpha1-antitrypsin in the feces."	
<http://purl.obolibrary.org/obo/HP_0009454>	"Uneven (irregular) increase in bone density of the proximal phalanx of the third finger."	"UMLS:C4024351"
<http://purl.obolibrary.org/obo/HP_0010278>		"UMLS:C4023923"
<http://purl.obolibrary.org/obo/HP_0012444>	"Partial or complete wasting (loss) of brain tissue that was once present."	"SNOMEDCT_US:52522001 UMLS:C0154671 SNOMEDCT_US:418143002 SNOMEDCT_US:278849000 UMLS:C0235946"
<http://purl.obolibrary.org/obo/HP_0009818>	"Amelia of one or both legs."	"UMLS:C4024197"
<http://purl.obolibrary.org/obo/HP_0012275>	"A type of autosomal dominant inheritance involving a gene that is imprinted with maternal silencing."	"UMLS:C4022975"
<http://purl.obolibrary.org/obo/HP_0025609>	"A type of blepharitis that affects the eyelid skin, base of the eyelashes, and the eyelash follicles."	
<http://purl.obolibrary.org/obo/HP_0012108>	"A type of glaucoma defined by an open, normal appearing anterior chamber angle and raised intraocular pressure,"	"SNOMEDCT_US:77075001 MSH:C562750 UMLS:C0339573"
<http://purl.obolibrary.org/obo/HP_0030523>		
<http://purl.obolibrary.org/obo/HP_0001380>		
<http://purl.obolibrary.org/obo/HP_0032175>	"This finding is composed of a ring-shaped opacity representing a dilated bronchus in cross section and a smaller adjacent opacity representing its pulmonary artery, with the combination resembling a signet (or pearl) ring. It is the basic sign of bronchiectasis in pulmonary computed tomography imaging."	
<http://purl.obolibrary.org/obo/HP_0025377>	"Applies to a sign or symptom that is provoked or brought about by exertion or physical exercise."	
<http://purl.obolibrary.org/obo/HP_0025248>	"A cutaneous cyst that is small (one or two millimeters in diameter) and painless, presenting as a follicular papule that usually is skin colored but may have a reddish or brownish tinge."	
<http://purl.obolibrary.org/obo/HP_0003352>	"An increase in the number of chromosome sets per cell in bone marrow cells."	"UMLS:C4025624"
<http://purl.obolibrary.org/obo/HP_0007787>	"A type of cataract affecting the posterior pole of lens immediately adjacent to ('beneath') the Lens capsule."	"UMLS:C0858617 SNOMEDCT_US:315353005"
<http://purl.obolibrary.org/obo/HP_0030335>	"A deviation from the normal count of CD4-positive, CD25-positive, alpha-beta regulatory T cells."	"UMLS:C4021859"
<http://purl.obolibrary.org/obo/HP_0010277>		"UMLS:C4023924"
<http://purl.obolibrary.org/obo/HP_0007021>	"Inability to perceive painful stimuli."	"UMLS:C0344307 SNOMEDCT_US:38433004"
<http://purl.obolibrary.org/obo/HP_0010144>		"UMLS:C4024015"
<http://purl.obolibrary.org/obo/HP_0012267>	"Absence of the radial spokes of the axoneme of the respiratory cilium."	"UMLS:C4022981"
<http://purl.obolibrary.org/obo/HP_0009751>	"Absence of the pectoralis major muscle."	"UMLS:C4024213"
<http://purl.obolibrary.org/obo/HP_0005241>	"A congenital defect characterized by the lack of ganglion cells in the entire intestine, i.e., the aganglionic segment comprises the entire large and small bowel."	"UMLS:C0345240 SNOMEDCT_US:204745000 MSH:C538058"
<http://purl.obolibrary.org/obo/HP_0000183>		"UMLS:C4280676 UMLS:C1853406"
<http://purl.obolibrary.org/obo/HP_0012415>	"An abnormality of the partial pressure of oxygen or carbon dioxide in the arterial blood."	"UMLS:C0476337 SNOMEDCT_US:312391003"
<http://purl.obolibrary.org/obo/HP_3000039>	"An abnormality of a dorsal nasal artery."	"UMLS:C4073247"
