group	NewTextDefinition	NewSynonym	NodeRename	NodeMove	ClassCreation	NodeCreation	All_Obsoletion	All_Synonym	NodeDeletion	NodeDirectMerge	NodeObsoletionWithDirectReplacement	NodeObsoletion
uberon	1121	5972	1171	3035	4378	114	0	5972				
__RESIDUAL__	93	228	91	165	1112	371	2	228	1	2		
quality	306	350	309	391	257		0	350				
behavior_ontology	43	41	49	53	83		0	41				
biological_process	201	299	201	328	2152		4	299			2	2
chebi_ontology	190	1512	216	1008	1376		0	1512				
human_developmental_stage	10	16	10	25	5		0	16				
protein	33	159	33	44	172		0	159				
cellular_component	24	45	24	33	169		1	45				1
mouse_pathology.ontology	30	17	32	35	43		0	17				
molecular_function	12	59	10	15	53		0	59				
human_stages_ontology					1		0	0				
