source_language	translation_language	subject_id	source_value	predicate_id	translation_value	translation_status
en	es	HP:0000001	All	rdfs:label	Todos	OFFICIAL
en	es	HP:0000002	Abnormality of body height	rdfs:label	Anomalía de la estatura	OFFICIAL
en	es	HP:0000003	Multicystic kidney dysplasia	rdfs:label	Displasia renal multiquística	OFFICIAL
en	es	HP:0000005	Mode of inheritance	rdfs:label	Modo de herencia	OFFICIAL
en	es	HP:0000006	Autosomal dominant inheritance	rdfs:label	Herencia autosómica dominante	OFFICIAL
en	es	HP:0000007	Autosomal recessive inheritance	rdfs:label	Herencia autosómica recesiva	OFFICIAL
en	es	HP:0000008	Abnormality of female internal genitalia	rdfs:label	Anomalía de los genitales internos femeninos	OFFICIAL
en	es	HP:0000009	Functional abnormality of the bladder	rdfs:label	Anomalía funcional de la vejiga	OFFICIAL
en	es	HP:0000010	Recurrent urinary tract infections	rdfs:label	Infecciones del tracto urinario a repetición	OFFICIAL
en	es	HP:0000011	Neurogenic bladder	rdfs:label	Vejiga neurogénica	OFFICIAL
en	es	HP:0000012	Urinary urgency	rdfs:label	Urgencia urinaria	OFFICIAL
en	es	HP:0000013	Hypoplasia of the uterus	rdfs:label	Hipoplasia del útero	OFFICIAL
en	es	HP:0000014	Abnormality of the bladder	rdfs:label	Anomalía de la vejiga	OFFICIAL
en	es	HP:0000015	Bladder diverticulum	rdfs:label	Divertículo vesical	OFFICIAL
en	es	HP:0000016	Urinary retention	rdfs:label	Retención urinaria	OFFICIAL
en	es	HP:0000017	Nocturia	rdfs:label	Nicturia	OFFICIAL
en	es	HP:0000019	Urinary hesitancy	rdfs:label	Dificultad para la micción	OFFICIAL
en	es	HP:0000020	Urinary incontinence	rdfs:label	Incontinencia urinaria	OFFICIAL
en	es	HP:0000021	Megacystis	rdfs:label	Megavejiga	OFFICIAL
en	es	HP:0000022	Abnormality of male internal genitalia	rdfs:label	Anomalía de los genitales internos masculinos	OFFICIAL
en	es	HP:0000023	Inguinal hernia	rdfs:label	Hernia inguinal	OFFICIAL
en	es	HP:0000024	Prostatitis	rdfs:label	Prostatitis	OFFICIAL
en	es	HP:0000025	Functional abnormality of male internal genitalia	rdfs:label	Anomalía funcional de los genitales internos masculinos	OFFICIAL
en	es	HP:0000026	Male hypogonadism	rdfs:label	Hipogonadismo masculino	OFFICIAL
en	es	HP:0000027	Azoospermia	rdfs:label	Azoospermia	OFFICIAL
en	es	HP:0000028	Cryptorchidism	rdfs:label	Criptorquidia	OFFICIAL
en	es	HP:0000029	Testicular atrophy	rdfs:label	Atrofia testicular	OFFICIAL
en	es	HP:0000030	Testicular gonadoblastoma	rdfs:label	Gonadoblastoma testicular	OFFICIAL
en	es	HP:0000031	Epididymitis	rdfs:label	Epididimitis	OFFICIAL
en	es	HP:0000032	Abnormality of male external genitalia	rdfs:label	Anomalía de los genitales externos masculinos	OFFICIAL
en	es	HP:0000033	Ambiguous genitalia, male	rdfs:label	Genitales ambiguos, masculino	OFFICIAL
en	es	HP:0000034	Hydrocele testis	rdfs:label	Hidrocele testicular	OFFICIAL
en	es	HP:0000035	Abnormal testis morphology	rdfs:label	Anomalía del testículo	OFFICIAL
en	es	HP:0000036	Abnormality of the penis	rdfs:label	Anomalía del pene	OFFICIAL
en	es	HP:0000037	Male pseudohermaphroditism	rdfs:label	Pseudohermafroditismo masculino	OFFICIAL
en	es	HP:0000039	Epispadias	rdfs:label	Epispadias	OFFICIAL
en	es	HP:0000040	Long penis	rdfs:label	Pene agrandado	OFFICIAL
en	es	HP:0000041	Chordee	rdfs:label	Incurvación congénita del pene	OFFICIAL
en	es	HP:0000042	Absent external genitalia	rdfs:label	Genitales externos ausentes	OFFICIAL
