defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
HP:0045025 	Narrow palpebral fissure	UBERON:0001819	palpebral fissure
HP:0011313	Narrow nail	UBERON:0001705	nail
HP:0010811	Narrow uvula	UBERON:0001734	palatine uvula
HP:0009936	Narrow nasal septum	UBERON:0001706	nasal septum
HP:0008819	Narrow femoral neck	UBERON:0007119	neck of femur
HP:0008714	Ureterovesical stenosis	UBERON:0009973	ureterovesical junction
HP:0004283	Narrow palm	UBERON:0008878	palmar part of manus
HP:0003944	Narrow joint spaces of the elbow	UBERON:0004099	joint space of elbow
HP:0003375	Narrow greater sacrosciatic notches	UBERON:0014411	greater sciatic notch
HP:0003275	Narrow pelvis bone	UBERON:0007830	pelvic girdle bone/zone
HP:0002868	Narrow iliac wings	UBERON:0010746	iliac blade
HP:0000774	Narrow chest	UBERON:0016416	anterior chest
HP:0000460	Narrow nose	UBERON:0000004	nose
HP:0000446	Narrow nasal bridge	UBERON:0001681	nasal bone
HP:0000402	Stenosis of the external auditory canal	UBERON:0001352	external acoustic meatus
HP:0000341	Narrow forehead	UBERON:0008200	forehead
HP:0000275	Narrow face	UBERON:0001456	face
HP:0000189	Narrow palate	UBERON:0001716	secondary palate
HP:0000160	Narrow mouth	UBERON:0000165	mouth
