defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/HP_0020054	Abnormal erythrocyte physiology	http://purl.obolibrary.org/obo/CL_0000232	erythrocyte
http://purl.obolibrary.org/obo/HP_0011990	Abnormality of neutrophil physiology	http://purl.obolibrary.org/obo/CL_0000775	neutrophil
http://purl.obolibrary.org/obo/HP_0012700	Abnormal large intestine physiology	http://purl.obolibrary.org/obo/UBERON_0000059	large intestine
http://purl.obolibrary.org/obo/HP_0012874	Abnormal male reproductive system physiology	http://purl.obolibrary.org/obo/UBERON_0000079	male reproductive system
http://purl.obolibrary.org/obo/HP_0031815	Abnormal oral physiology	http://purl.obolibrary.org/obo/UBERON_0000165	mouth
http://purl.obolibrary.org/obo/HP_0030012	Abnormal female reproductive system physiology	http://purl.obolibrary.org/obo/UBERON_0000474	female reproductive system
http://purl.obolibrary.org/obo/HP_0030964	Abnormal aortic physiology	http://purl.obolibrary.org/obo/UBERON_0000947	aorta
http://purl.obolibrary.org/obo/HP_0031072	Abnormal endocrine physiology	http://purl.obolibrary.org/obo/UBERON_0000949	endocrine system
http://purl.obolibrary.org/obo/HP_0025032	Abnormality of digestive system physiology	http://purl.obolibrary.org/obo/UBERON_0001007	digestive system
http://purl.obolibrary.org/obo/HP_0011277	Abnormality of the urinary system physiology	http://purl.obolibrary.org/obo/UBERON_0001008	renal system
http://purl.obolibrary.org/obo/HP_0012638	Abnormality of nervous system physiology	http://purl.obolibrary.org/obo/UBERON_0001016	nervous system
http://purl.obolibrary.org/obo/HP_0011767	Abnormality of the parathyroid physiology	http://purl.obolibrary.org/obo/UBERON_0001132	parathyroid gland
http://purl.obolibrary.org/obo/HP_0012091	Abnormality of pancreas physiology	http://purl.obolibrary.org/obo/UBERON_0001264	pancreas
http://purl.obolibrary.org/obo/HP_0011843	Abnormality of skeletal physiology	http://purl.obolibrary.org/obo/UBERON_0001434	skeletal system
http://purl.obolibrary.org/obo/HP_0011804	Abnormality of muscle physiology	http://purl.obolibrary.org/obo/UBERON_0001630	muscle organ
http://purl.obolibrary.org/obo/HP_0031704	Abnormal ear physiology	http://purl.obolibrary.org/obo/UBERON_0001690	ear
http://purl.obolibrary.org/obo/HP_0031879	Abnormal eyelid physiology	http://purl.obolibrary.org/obo/UBERON_0001711	eyelid
http://purl.obolibrary.org/obo/HP_0025424	Abnormal larynx physiology	http://purl.obolibrary.org/obo/UBERON_0001737	larynx
http://purl.obolibrary.org/obo/HP_0031910	Abnormal cranial nerve physiology	http://purl.obolibrary.org/obo/UBERON_0001785	cranial nerve
http://purl.obolibrary.org/obo/HP_0011389	Functional abnormality of the inner ear	http://purl.obolibrary.org/obo/UBERON_0001846	internal ear
http://purl.obolibrary.org/obo/HP_0002926	Abnormality of thyroid physiology	http://purl.obolibrary.org/obo/UBERON_0002046	thyroid gland
http://purl.obolibrary.org/obo/HP_0011122	Abnormality of skin physiology	http://purl.obolibrary.org/obo/UBERON_0002097	skin of body
http://purl.obolibrary.org/obo/HP_0025409	Abnormal spleen physiology	http://purl.obolibrary.org/obo/UBERON_0002106	spleen
http://purl.obolibrary.org/obo/HP_0012438	Abnormal gallbladder physiology	http://purl.obolibrary.org/obo/UBERON_0002110	gall bladder
http://purl.obolibrary.org/obo/HP_0012211	Abnormal renal physiology	http://purl.obolibrary.org/obo/UBERON_0002113	kidney
http://purl.obolibrary.org/obo/HP_0031650	Abnormal atrioventricular valve physiology	http://purl.obolibrary.org/obo/UBERON_0002133	atrioventricular valve
http://purl.obolibrary.org/obo/HP_0031651	Abnormal tricuspid valve physiology	http://purl.obolibrary.org/obo/UBERON_0002134	tricuspid valve
http://purl.obolibrary.org/obo/HP_0031481	Abnormal mitral valve physiology	http://purl.obolibrary.org/obo/UBERON_0002135	mitral valve
http://purl.obolibrary.org/obo/HP_0031652	Abnormal aortic valve physiology	http://purl.obolibrary.org/obo/UBERON_0002137	aortic valve
http://purl.obolibrary.org/obo/HP_0025427	Abnormal bronchus physiology	http://purl.obolibrary.org/obo/UBERON_0002185	bronchus
http://purl.obolibrary.org/obo/HP_0031801	Vocal cord dysfunction	http://purl.obolibrary.org/obo/UBERON_0003706	laryngeal vocal fold
http://purl.obolibrary.org/obo/HP_0000025	Functional abnormality of male internal genitalia	http://purl.obolibrary.org/obo/UBERON_0004054	internal male genitalia
