defined_class	defined_class_label	pato	pato_label	cell	cell_label	compared_cell	compared_cell_label	location	location_label
HP:0031396	Abnormal proportion of naive T cells	PATO:0001470	proportionality to	CL:0000898	naïve T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0032127	Abnormal plasmablast proportion	PATO:0001470	proportionality to	CL:0000980	plasmablast	CL:0000236	B cell	UBERON:0000178	blood
HP:0032182	Abnormal proportion of memory T cells	PATO:0001470	proportionality to	CL:0000813	memory T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0030379	Abnormal proportion of transitional B cells	PATO:0001470	proportionality to	CL:0000818	transitional stage B cell	CL:0000236	B cell	UBERON:0000178	blood
HP:0030376	Abnormal proportion of immature B cells	PATO:0001470	proportionality to	CL:0000816	immature B cell	CL:0000236	B cell	UBERON:0000178	blood
HP:0030383	Abnormal proportion of marginal zone B cells	PATO:0001470	proportionality to	CL:0000845	marginal zone B cells	CL:0000236	B cell	UBERON:0000178	blood
HP:0030373	Abnormal proportion of memory B cells	PATO:0001470	proportionality to	CL:0000787	memory B cell	CL:0000236	B cell	UBERON:0000178	blood
HP:0030370	Abnormal proportion of naive B cells	PATO:0001470	proportionality to	CL:0000788	naive B cell	CL:0000236	B cell	UBERON:0000178	blood
HP:0030386	Abnormal proportion of class-switched memory B cells	PATO:0001470	proportionality to	CL:0000972	class switched memory B cells	CL:0000236	B cell	UBERON:0000178	blood
HP:0410380	Abnormal proportion of CD8-positive, alpha-beta memory T cells	PATO:0001470	proportionality to	CL:0000909	cd8-positive, alpha-beta memory T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0410379	Abnormal proportion of CD4-positive, alpha-beta memory T cells	PATO:0001470	proportionality to	CL:0000897	CD4-positive, alpha-beta memory T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0020177	Abnormal proportion of CD8-positive, alpha-beta TEMRA T cells	PATO:0040042	proportionality to	CL:0001062	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	CL:0000084	T cell	UBERON:0000178	blood
HP:0500263	Abnormal helper T cell propotion	PATO:0040042	proportionality to	CL:0000912	helper T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0032124	Abnormal proportion of unswitched memory B cells	PATO:0040042	proportionality to	CL:0000970	unswitched memory B cell	CL:0000236	B cell	UBERON:0000178	blood
HP:0500267	Abnormal proportion of CD4-positive helper T cells	PATO:0040042	proportionality to	CL:0000492	CD4-positive helper T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0031393	Abnormal proportion of CD8-positive T cells	PATO:0040042	proportionality to	CL:0000625	CD8-positive, alpha-beta T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0031392	Abnormal proportion of CD4-positive T cells	PATO:0040042	proportionality to	CL:0000624	CD4-positive, alpha-beta T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0410373	Abnormal proportion of naive CD4 T cells	PATO:0040042	proportionality to	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0025620	Abnormal proportion of CD4+ central memory cells	PATO:0040042	proportionality to	CL:0000904	central memory CD4-positive, alpha-beta T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0025623	Abnormal proportion of CD4+ effector memory cells	PATO:0040042	proportionality to	CL:0001044	effector CD4-positive, alpha-beta T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0410383	Abnormal proportion of CD9-positive, alpha-beta T cell	PATO:0040042	proportionality to	CL:0000913	effector memory CD8-positive, alpha-beta T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0410384	Abnormal proportion of central memory CD8-positive, alpha-beta T cells	PATO:0040042	proportionality to	CL:0000907	central memory CD8-positive, alpha-beta T cell	CL:0000084	T cell	UBERON:0000178	blood
