defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
HP:0430008	Accessory eyelid	UBERON:0001711	eyelid
HP:0100828	Increased T cell count	CL:0000084	T cell
HP:0100495	Mastocytosis	CL:0000097	mast cell
HP:0031807	Increased basophil count	CL:0000767	basophil
HP:0012311	Monocytosis	CL:0000576	monocyte
HP:0012132	Erythroid hyperplasia	CL:0000038	erythroid progenitor cell
HP:0011069	Increased number of teeth	UBERON:0001091	calcareous tooth
HP:0010470	Supernumerary testes	UBERON:0000473	testis
HP:0009934	Supernumerary naris	UBERON:0005928	external naris
HP:0009799	Supernumerary spleens	UBERON:0002106	spleen
HP:0006114	Multiple palmar creases	UBERON:0019246	palmar skin crease
HP:0005917	Supernumerary metacarpal bones	UBERON:0002374	metacarpal bone
HP:0005815	Supernumerary ribs	UBERON:0002228	rib
HP:0005404	Increased B cell count	CL:0000236	B cell
HP:0004249	Accessory lunate	UBERON:0001428	intermedium
HP:0004244	Accessory scaphoid	UBERON:0001427	radiale
HP:0004232	Accessory carpal bones	UBERON:0001435	carpal bone
HP:0003651	Foam cells	CL:0000891	foam cell
HP:0002946	Supernumerary vertebrae	UBERON:0002412	vertebra
HP:0002558	Supernumerary nipple	UBERON:0002030	nipple
HP:0001923	Reticulocytosis	CL:0000558	reticulocyte
HP:0000998	Hypertrichosis	UBERON:0001037	strand of hair
