defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
HP:0100961	Enlarged hippocampus	UBERON:0002421	hippocampal formation
HP:0100879	Enlarged ovaries	UBERON:0000992	ovary
HP:0100878	Enlarged uterus	UBERON:0000995	uterus
HP:0100729	Large face	UBERON:0001456	face
HP:0100625	Enlarged thorax	UBERON:0001443	chest
HP:0040309	Increased size of the mandible	UBERON:0001684	mandible
HP:0040261	Increased size of nasopharyngeal adenoids	UBERON:0001732	pharyngeal tonsil
HP:0040253	Increased size of the clitoris	UBERON:0002411	clitoris
HP:0040194	Increased head circumference	UBERON:0000033	head
HP:0031295	Left atrial enlargement	UBERON:0002079	left cardiac atrium
HP:0030812	Enlarged tonsils	UBERON:0002372	tonsil
HP:0030718	Right atrial enlargement	UBERON:0002078	right cardiac atrium
HP:0030162	Glomerulomegaly	UBERON:0000074	renal glomerulus
HP:0012694	Enlarged thalamic volume	UBERON:0004703	dorsal thalamus
HP:0012645	Enlarged peripheral nerve	UBERON:0001021	nerve
HP:0012505	Enlarged pituitary gland	UBERON:0000007	pituitary gland
HP:0012081	Enlarged cerebellum	UBERON:0002037	cerebellum
HP:0011387	Enlarged vestibular aqueduct	UBERON:0002279	vestibular aqueduct
HP:0011383	Enlarged semicircular canal	UBERON:0001840	semicircular canal
HP:0011081	Incisor macrodontia	UBERON:0001098	incisor tooth
HP:0010945	Fetal pyelectasis	UBERON:0001224	renal pelvis
HP:0010779	Large pelvis bone	UBERON:0007830	pelvic girdle bone/zone
HP:0010580	Enlarged epiphyses	UBERON:0001437	epiphysis
HP:0010231	Enlarged epiphyses of the phalanges of the hand	UBERON:0004387	epiphysis of phalanx of manus
HP:0010152	Enlarged epiphysis of the 1st metatarsal	UBERON:0004395	epiphysis of first metatarsal bone
HP:0010018	Enlarged epiphysis of the 1st metacarpal	UBERON:0004391	epiphysis of first metacarpal bone
HP:0009748	Large earlobe	UBERON:0001847	lobule of pinna
HP:0008818	Large iliac wings	UBERON:0010746	iliac blade
HP:0008683	Enlarged labia minora	UBERON:0004014	labium minora
HP:0008221	Adrenal hyperplasia	UBERON:0002369	adrenal gland
HP:0007734	Enlarged lacrimal glands	UBERON:0001817	lacrimal gland
HP:0007048	Large basal ganglia	UBERON:0002420	basal ganglion
HP:0006438	Enlargement of the distal femoral epiphysis	UBERON:0004406	distal epiphysis of femur
HP:0006267	Large placenta	UBERON:0001987	placenta
HP:0006247	Enlarged interphalangeal joints	UBERON:0006658	interphalangeal joint
HP:0006185	Enlarged proximal interphalangeal joints	UBERON:0009767	proximal interphalangeal joint
HP:0006163	Enlarged metacarpophalangeal joints	UBERON:0003695	metacarpophalangeal joint
HP:0006134	Enlarged metacarpal epiphyses	UBERON:0004390	epiphysis of metacarpal bone
HP:0004679	Large tarsal bones	UBERON:0001447	tarsal bone
HP:0004621	Enlarged vertebral pedicles	UBERON:0001078	pedicle of vertebra
HP:0004510	Pancreatic islet-cell hyperplasia	UBERON:0000006	islet of Langerhans
HP:0004491	Large posterior fontanelle	UBERON:0006683	posterior fontanelle
HP:0004263	Large capitate bone	UBERON:0001432	distal carpal bone 3
HP:0004260	Large hamate bone	UBERON:0001433	distal carpal bone 4
HP:0004237	Large carpal bones	UBERON:0001435	carpal bone
HP:0004005	Large radial epiphyses	UBERON:0004385	epiphysis of radius
HP:0003898	Large humeral epiphyses	UBERON:0004382	epiphysis of humerus
HP:0003371	Enlargement of the proximal femoral epiphysis	UBERON:0004412	proximal epiphysis of femur
HP:0003051	Enlarged metaphyses	UBERON:0001438	metaphysis
HP:0003037	Enlarged joints	UBERON:0000982	skeletal joint
HP:0003029	Enlargement of the ankles	UBERON:0004454	tarsal region
HP:0002700	Large foramen magnum	UBERON:0003687	foramen magnum
HP:0002240	Hepatomegaly	UBERON:0002107	liver
HP:0002119	Ventriculomegaly	UBERON:0004086	brain ventricle
HP:0002003	Large forehead	UBERON:0008200	forehead
HP:0001744	Splenomegaly	UBERON:0002106	spleen
HP:0001640	Cardiomegaly	UBERON:0000948	heart
HP:0001572	Macrodontia	UBERON:0001091	calcareous tooth
HP:0001176	Large hands	UBERON:0002398	manus
HP:0001090	Abnormally large globe	UBERON:0010230	eyeball of camera-type eye
HP:0000920	Enlargement of the costochondral junction	UBERON:0002293	costochondral joint
HP:0000853	Goiter	UBERON:0002046	thyroid gland
HP:0000675	Macrodontia of permanent maxillary central incisor	UBERON:0016454	upper central secondary incisor tooth
HP:0000485	Megalocornea	UBERON:0000964	cornea
HP:0000400	Macrotia	UBERON:0001691	external ear
HP:0000239	Large fontanelles	UBERON:0002221	fontanelle
HP:0000158	Macroglossia	UBERON:0001723	tongue
HP:0000105	Enlarged kidney	UBERON:0002113	kidney
