defined_class	defined_class_label	entity	entity_label																							
http://purl.obolibrary.org/obo/HP_0005255	Absence of pectoralis minor muscle	http://purl.obolibrary.org/obo/UBERON_0001100	pectoralis minor						abnormalAbsenceOfAnatomicalEntity.yaml																	
http://purl.obolibrary.org/obo/HP_0010577	Absent epiphyses	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis						abnormalAbsenceOfAnatomicalEntity.yaml																	
http://purl.obolibrary.org/obo/HP_0009686	Absent epiphyses of the thumb	http://purl.obolibrary.org/obo/UBERON_0001463	manual digit 1						abnormalAbsenceOfAnatomicalEntity.yaml																	
http://purl.obolibrary.org/obo/HP_0000561	Absent eyelashes	http://purl.obolibrary.org/obo/UBERON_0001702	eyelash						abnormalAbsenceOfAnatomicalEntity.yaml																	
http://purl.obolibrary.org/obo/HP_0005134	Absence of the pulmonary valve	http://purl.obolibrary.org/obo/UBERON_0002146	pulmonary valve						abnormalAbsenceOfAnatomicalEntity.yaml																	
http://purl.obolibrary.org/obo/HP_0007485	Absence of subcutaneous fat	http://purl.obolibrary.org/obo/UBERON_0002190	subcutaneous adipose tissue						abnormalAbsenceOfAnatomicalEntity.yaml																	
http://purl.obolibrary.org/obo/HP_0006681	Absent atrioventricular node	http://purl.obolibrary.org/obo/UBERON_0002352	atrioventricular node						abnormalAbsenceOfAnatomicalEntity.yaml																	
http://purl.obolibrary.org/obo/HP_0010305	Absence of the sacrum	http://purl.obolibrary.org/obo/UBERON_0003690	fused sacrum						abnormalAbsenceOfAnatomicalEntity.yaml																	
http://purl.obolibrary.org/obo/HP_0000042	Absent external genitalia	http://purl.obolibrary.org/obo/UBERON_0004176	external genitalia						abnormalAbsenceOfAnatomicalEntity.yaml																	
http://purl.obolibrary.org/obo/HP_0031783	Absent coronary sinus	http://purl.obolibrary.org/obo/UBERON_0005438	coronary sinus						abnormalAbsenceOfAnatomicalEntity.yaml																	
http://purl.obolibrary.org/obo/HP_0002849	Absence of lymph node germinal center	http://purl.obolibrary.org/obo/UBERON_0009039	lymph node germinal center						abnormalAbsenceOfAnatomicalEntity.yaml																	
http://purl.obolibrary.org/obo/HP_0002223	Absent eyebrow	http://purl.obolibrary.org/obo/UBERON_0010163	eyebrow						abnormalAbsenceOfAnatomicalEntity.yaml																	
http://purl.obolibrary.org/obo/HP_0002550	Absent facial hair	http://purl.obolibrary.org/obo/UBERON_0010171	strand of hair of face						abnormalAbsenceOfAnatomicalEntity.yaml																	
http://purl.obolibrary.org/obo/HP_0200104	Absent fifth fingernail	http://purl.obolibrary.org/obo/UBERON_0011277	nail of manual digit 5						abnormalAbsenceOfAnatomicalEntity.yaml																	
http://purl.obolibrary.org/obo/HP_0200105	Absent fifth toenail	http://purl.obolibrary.org/obo/UBERON_0011282	nail of pedal digit 5						abnormalAbsenceOfAnatomicalEntity.yaml																	
http://purl.obolibrary.org/obo/HP_0002221	Absent axillary hair	http://purl.obolibrary.org/obo/UBERON_0013699	strand of axillary hair						abnormalAbsenceOfAnatomicalEntity.yaml																	
http://purl.obolibrary.org/obo/HP_0011234	Absent antihelix	http://purl.obolibrary.org/obo/UBERON_0016466	antihelix						abnormalAbsenceOfAnatomicalEntity.yaml																	
http://purl.obolibrary.org/obo/HP_0011249	Absent antitragus	http://purl.obolibrary.org/obo/UBERON_0016467	antitragus						abnormalAbsenceOfAnatomicalEntity.yaml																	
http://purl.obolibrary.org/obo/HP_0002298	Absent hair	http://purl.obolibrary.org/obo/UBERON_0001037	strand of hair																							
http://purl.obolibrary.org/obo/HP_0011835	Absent scaphoid	http://purl.obolibrary.org/obo/UBERON_0001427	radiale																							
http://purl.obolibrary.org/obo/HP_0009892	Anotia	http://purl.obolibrary.org/obo/UBERON_0001691	external ear																							
http://purl.obolibrary.org/obo/HP_0007980	Absent retinal pigment epithelium	http://purl.obolibrary.org/obo/UBERON_0001782	pigmented layer of retina																							
http://purl.obolibrary.org/obo/HP_0005632	Absent forearm	http://purl.obolibrary.org/obo/UBERON_0002386	forelimb zeugopod																							
http://purl.obolibrary.org/obo/HP_0011629	Total absence of the pericardium	http://purl.obolibrary.org/obo/UBERON_0002407	pericardium																							
http://purl.obolibrary.org/obo/HP_0008465	Absent vertebra	http://purl.obolibrary.org/obo/UBERON_0002412	vertebra																							
http://purl.obolibrary.org/obo/HP_0008702	Absent internal genitalia	http://purl.obolibrary.org/obo/UBERON_0004175	internal genitalia																							
http://purl.obolibrary.org/obo/HP_0009196	Absent metacarpal epiphyses	http://purl.obolibrary.org/obo/UBERON_0004390	epiphysis of metacarpal bone																							
http://purl.obolibrary.org/obo/HP_0005093	Absent proximal radial epiphyses	http://purl.obolibrary.org/obo/UBERON_0004413	proximal epiphysis of radius																							
http://purl.obolibrary.org/obo/HP_0011268	Absent tragus	http://purl.obolibrary.org/obo/UBERON_0010887	tragus																							
http://purl.obolibrary.org/obo/HP_0012554	Absent thumbnail	http://purl.obolibrary.org/obo/UBERON_0011273	nail of manual digit 1																							
http://purl.obolibrary.org/obo/HP_0012555	Absent nail of hallux	http://purl.obolibrary.org/obo/UBERON_0011278	nail of pedal digit 1																							
http://purl.obolibrary.org/obo/HP_0005068	Absent styloid process of ulna	http://purl.obolibrary.org/obo/UBERON_0011575	styloid process of ulna																							
http://purl.obolibrary.org/obo/HP_0002555	Absent pubic hair	http://purl.obolibrary.org/obo/UBERON_0013698	strand of pubic hair																							
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
