defined_class,defined_class_label,behavior_process,behavior_process_label,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0100851,Abnormal emotion/affect behavior,http://purl.obolibrary.org/obo/NBO_0000003,emotional behavior,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0100852,Abnormal fear/anxiety-related behavior,http://purl.obolibrary.org/obo/NBO_0000018,fear/anxiety related behavior,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000718,Aggressive behavior,http://purl.obolibrary.org/obo/NBO_0000015,aggressive behavior,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000713,Agitation,http://purl.obolibrary.org/obo/NBO_0000129,agitation behavior,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000739,Anxiety,http://purl.obolibrary.org/obo/NBO_0000092,anxiety-related behavior,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000708,Behavioral abnormality,http://purl.obolibrary.org/obo/NBO_0000313,behavior process,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000735,Impaired social interactions,http://purl.obolibrary.org/obo/NBO_0000011,social behavior,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0040202,Abnormal consumption behavior,http://purl.obolibrary.org/obo/NBO_0001845,consumption behavior,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0030082,Abnormal drinking behavior,http://purl.obolibrary.org/obo/GO_0042756,drinking behavior,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0100738,Abnormal eating behavior,http://purl.obolibrary.org/obo/GO_0042755,eating behavior,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0040202,Abnormal consumption behavior,http://purl.obolibrary.org/obo/NBO_0001845,consumption behavior,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0100851,Abnormal emotion/affect behavior,http://purl.obolibrary.org/obo/NBO_0000003,emotional behavior,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0100852,Abnormal fear/anxiety-related behavior,http://purl.obolibrary.org/obo/NBO_0000018,fear/anxiety related behavior,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0007670,Abnormal vestibulo-ocular reflex,http://purl.obolibrary.org/obo/NBO_0000416,vestibulo-ocular reflex,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000496,Abnormality of eye movement,http://purl.obolibrary.org/obo/NBO_0000444,eye movement,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0100022,Abnormality of movement,http://purl.obolibrary.org/obo/NBO_0000403,voluntary movement behavior,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000708,Behavioral abnormality,http://purl.obolibrary.org/obo/NBO_0000313,behavior process,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0100710,Impulsivity,http://purl.obolibrary.org/obo/NBO_0000119,impulsive behavior,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000748,Inappropriate laughter,http://purl.obolibrary.org/obo/NBO_0000617,laughing behavior,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0002033,Poor suck,http://purl.obolibrary.org/obo/NBO_0000054,suckling behavior,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000735,Impaired social interactions,http://purl.obolibrary.org/obo/NBO_0000011,social behavior,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0007772,Impaired smooth pursuit,http://purl.obolibrary.org/obo/NBO_0000446,visual pursuit,,,,,,,,,,,,,,,,,,,,,,
