defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/HP_0012738	Agenesis of canine	http://purl.obolibrary.org/obo/UBERON_0003674	cuspid
http://purl.obolibrary.org/obo/HP_0006289	Agenesis of central incisor	http://purl.obolibrary.org/obo/UBERON_0018551	central incisor tooth
http://purl.obolibrary.org/obo/HP_0011056	Agenesis of first permanent molar tooth	http://purl.obolibrary.org/obo/UBERON_0018608	permanent molar tooth 1
http://purl.obolibrary.org/obo/HP_0006485	Agenesis of incisor	http://purl.obolibrary.org/obo/UBERON_0001098	incisor tooth
http://purl.obolibrary.org/obo/HP_0200153	Agenesis of lateral incisor	http://purl.obolibrary.org/obo/UBERON_0018552	lateral incisor tooth
http://purl.obolibrary.org/obo/HP_0006355	Agenesis of mandibular central incisor	http://purl.obolibrary.org/obo/UBERON_0018601	lower central incisor tooth
http://purl.obolibrary.org/obo/HP_0200161	Agenesis of mandibular incisor	http://purl.obolibrary.org/obo/UBERON_0003451	lower jaw incisor
http://purl.obolibrary.org/obo/HP_0200154	Agenesis of mandibular lateral incisor	http://purl.obolibrary.org/obo/UBERON_0018602	lower lateral incisor tooth
http://purl.obolibrary.org/obo/HP_0011053	Agenesis of mandibular premolar	http://purl.obolibrary.org/obo/UBERON_0016453	lower secondary premolar tooth
http://purl.obolibrary.org/obo/HP_0006293	Agenesis of maxillary central incisor	http://purl.obolibrary.org/obo/UBERON_0018603	upper central incisor tooth
http://purl.obolibrary.org/obo/HP_0200160	Agenesis of maxillary incisor	http://purl.obolibrary.org/obo/UBERON_0003450	upper jaw incisor
http://purl.obolibrary.org/obo/HP_0000690	Agenesis of maxillary lateral incisor	http://purl.obolibrary.org/obo/UBERON_0018604	upper lateral incisor tooth
http://purl.obolibrary.org/obo/HP_0011052	Agenesis of maxillary premolar	http://purl.obolibrary.org/obo/UBERON_0016452	upper secondary premolar tooth
http://purl.obolibrary.org/obo/HP_0011054	Agenesis of molar	http://purl.obolibrary.org/obo/UBERON_0003655	molar tooth
http://purl.obolibrary.org/obo/HP_0011048	Agenesis of permanent mandibular central incisor	http://purl.obolibrary.org/obo/UBERON_0018568	lower central secondary incisor tooth
http://purl.obolibrary.org/obo/HP_0200158	Agenesis of permanent mandibular lateral incisor	http://purl.obolibrary.org/obo/UBERON_0018570	lower lateral secondary incisor tooth
http://purl.obolibrary.org/obo/HP_0011045	Agenesis of permanent maxillary central incisor	http://purl.obolibrary.org/obo/UBERON_0016454	upper central secondary incisor tooth
http://purl.obolibrary.org/obo/HP_0011050	Agenesis of permanent maxillary lateral incisor	http://purl.obolibrary.org/obo/UBERON_0016455	upper lateral secondary incisor tooth
http://purl.obolibrary.org/obo/HP_0011055	Agenesis of permanent molar	http://purl.obolibrary.org/obo/UBERON_0013618	secondary molar tooth
http://purl.obolibrary.org/obo/HP_0011051	Agenesis of premolar	http://purl.obolibrary.org/obo/UBERON_0007120	premolar tooth
http://purl.obolibrary.org/obo/HP_0011047	Agenesis of primary mandibular central incisor	http://purl.obolibrary.org/obo/UBERON_0018595	lower central primary incisor tooth
http://purl.obolibrary.org/obo/HP_0200159	Agenesis of primary mandibular lateral incisor	http://purl.obolibrary.org/obo/UBERON_0018596	lower lateral primary incisor tooth
http://purl.obolibrary.org/obo/HP_0011046	Agenesis of primary maxillary central incisor	http://purl.obolibrary.org/obo/UBERON_0018593	upper central primary incisor tooth
http://purl.obolibrary.org/obo/HP_0011049	Agenesis of primary maxillary lateral incisor	http://purl.obolibrary.org/obo/UBERON_0018594	upper lateral primary incisor tooth
http://purl.obolibrary.org/obo/HP_0041052	Agenesis of putamen	http://purl.obolibrary.org/obo/UBERON_0001874	putamen
http://purl.obolibrary.org/obo/HP_0011057	Agenesis of second permanent molar	http://purl.obolibrary.org/obo/UBERON_0018607	permanent molar tooth 2
http://purl.obolibrary.org/obo/HP_0008459	Cervical vertebral agenesis	http://purl.obolibrary.org/obo/UBERON_0002413	cervical vertebra
http://purl.obolibrary.org/obo/HP_0100839	Hepatic agenesis	http://purl.obolibrary.org/obo/UBERON_0002107	liver
http://purl.obolibrary.org/obo/HP_0001341	Olfactory lobe agenesis	http://purl.obolibrary.org/obo/UBERON_0005366	olfactory lobe
