defined_class	defined_class_label	color	color_label	entity	entity_label
http://purl.obolibrary.org/obo/HP_0012086	Abnormal urinary color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/UBERON_0001088	urine
http://purl.obolibrary.org/obo/HP_0011073	Abnormality of dental color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/UBERON_0001091	calcareous tooth
http://purl.obolibrary.org/obo/HP_0040317	Blue urine	http://purl.obolibrary.org/obo/PATO_0000318	blue	http://purl.obolibrary.org/obo/UBERON_0001088	urine
http://purl.obolibrary.org/obo/HP_0000961	Cyanosis	http://purl.obolibrary.org/obo/PATO_0000319	cyan	http://purl.obolibrary.org/obo/UBERON_0002097	skin of body
http://purl.obolibrary.org/obo/HP_0000683	Grayish enamel	http://purl.obolibrary.org/obo/PATO_0000950	grey	http://purl.obolibrary.org/obo/UBERON_0001752	enamel
http://purl.obolibrary.org/obo/HP_0011075	Green teeth	http://purl.obolibrary.org/obo/PATO_0000320	green	http://purl.obolibrary.org/obo/UBERON_0001091	calcareous tooth
http://purl.obolibrary.org/obo/HP_0002297	Red hair	http://purl.obolibrary.org/obo/PATO_0000322	red	http://purl.obolibrary.org/obo/UBERON_0001037	strand of hair
http://purl.obolibrary.org/obo/HP_0040318	Red urine	http://purl.obolibrary.org/obo/PATO_0000322	red	http://purl.obolibrary.org/obo/UBERON_0001088	urine
http://purl.obolibrary.org/obo/HP_0002226	White eyebrow	http://purl.obolibrary.org/obo/PATO_0000323	white	http://purl.obolibrary.org/obo/UBERON_0010163	eyebrow
http://purl.obolibrary.org/obo/HP_0002227	White eyelashes	http://purl.obolibrary.org/obo/PATO_0000323	white	http://purl.obolibrary.org/obo/UBERON_0001702	eyelash
