defined_class	defined_class_label	biological_process	biological_process_label	location	location_label
http://purl.obolibrary.org/obo/HP_0001495	Carpal osteolysis	http://purl.obolibrary.org/obo/GO_0045453	bone resorption	http://purl.obolibrary.org/obo/UBERON_0001435	carpal bone
http://purl.obolibrary.org/obo/HP_0005374	Cellular immunodeficiency	http://purl.obolibrary.org/obo/GO_0006955	immune response	http://purl.obolibrary.org/obo/CL_0000000	cell
http://purl.obolibrary.org/obo/HP_0009072	Decreased Achilles reflex	http://purl.obolibrary.org/obo/GO_0060004	reflex	http://purl.obolibrary.org/obo/UBERON_0003701	calcaneal tendon
http://purl.obolibrary.org/obo/HP_0008000	Decreased corneal reflex	http://purl.obolibrary.org/obo/GO_0060004	reflex	http://purl.obolibrary.org/obo/UBERON_0000964	cornea
http://purl.obolibrary.org/obo/HP_0011808	Decreased patellar reflex	http://purl.obolibrary.org/obo/GO_0060004	reflex	http://purl.obolibrary.org/obo/UBERON_0002446	patella
http://purl.obolibrary.org/obo/HP_0004274	Deficient ossification of hand bones	http://purl.obolibrary.org/obo/GO_0001503	ossification	http://purl.obolibrary.org/obo/UBERON_0001442	skeleton of manus
http://purl.obolibrary.org/obo/HP_0002750	Delayed skeletal maturation	http://purl.obolibrary.org/obo/GO_0070977	bone maturation	http://purl.obolibrary.org/obo/UBERON_0004288	skeleton
http://purl.obolibrary.org/obo/HP_0006449	Distal radial epiphyseal osteolysis	http://purl.obolibrary.org/obo/GO_0045453	bone resorption	http://purl.obolibrary.org/obo/UBERON_0004407	distal epiphysis of radius
http://purl.obolibrary.org/obo/HP_0012643	Foveal hypopigmentation	http://purl.obolibrary.org/obo/GO_0043473	pigmentation	http://purl.obolibrary.org/obo/UBERON_0001786	fovea centralis
http://purl.obolibrary.org/obo/HP_0005599	Hypopigmentation of hair	http://purl.obolibrary.org/obo/GO_0043473	pigmentation	http://purl.obolibrary.org/obo/UBERON_0001037	strand of hair
http://purl.obolibrary.org/obo/HP_0001010	Hypopigmentation of the skin	http://purl.obolibrary.org/obo/GO_0043473	pigmentation	http://purl.obolibrary.org/obo/UBERON_0002097	skin of body
http://purl.obolibrary.org/obo/HP_0040075	Hypopituitarism	http://purl.obolibrary.org/obo/GO_0046903	secretion	http://purl.obolibrary.org/obo/UBERON_0000007	pituitary gland
http://purl.obolibrary.org/obo/HP_0002600	Hyporeflexia of lower limbs	http://purl.obolibrary.org/obo/GO_0060004	reflex	http://purl.obolibrary.org/obo/UBERON_0010709	pelvic complex
