defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/HP_0002007	Frontal bossing	http://purl.obolibrary.org/obo/UBERON_0008200	forehead
http://purl.obolibrary.org/obo/HP_0012371	Hyperplasia of midface	http://purl.obolibrary.org/obo/UBERON_0004089	midface
http://purl.obolibrary.org/obo/HP_0010620	Malar prominence	http://purl.obolibrary.org/obo/UBERON_0002500	zygomatic arch
http://purl.obolibrary.org/obo/HP_0000303	Mandibular prognathia	http://purl.obolibrary.org/obo/UBERON_0001684	mandible
http://purl.obolibrary.org/obo/HP_0000242	Parietal bossing	http://purl.obolibrary.org/obo/UBERON_0000210	tetrapod parietal bone
http://purl.obolibrary.org/obo/HP_0010759	Prominence of the premaxilla	http://purl.obolibrary.org/obo/UBERON_0002244	premaxilla
http://purl.obolibrary.org/obo/HP_0012370	Prominence of the zygomatic bone	http://purl.obolibrary.org/obo/UBERON_0001683	jugal bone
http://purl.obolibrary.org/obo/HP_0000395	Prominent antihelix	http://purl.obolibrary.org/obo/UBERON_0016466	antihelix
http://purl.obolibrary.org/obo/HP_0008593	Prominent antitragus	http://purl.obolibrary.org/obo/UBERON_0016467	antitragus
http://purl.obolibrary.org/obo/HP_0012428	Prominent calcaneus	http://purl.obolibrary.org/obo/UBERON_0001450	calcaneus
http://purl.obolibrary.org/obo/HP_0040016	Prominent coccyx	http://purl.obolibrary.org/obo/UBERON_0001350	coccyx
http://purl.obolibrary.org/obo/HP_0009899	Prominent crus of helix	http://purl.obolibrary.org/obo/UBERON_0004106	crus of ear
http://purl.obolibrary.org/obo/HP_0003890	Prominent deltoid tuberosities	http://purl.obolibrary.org/obo/UBERON_0002498	deltopectoral crest
http://purl.obolibrary.org/obo/HP_0009904	Prominent ear helix	http://purl.obolibrary.org/obo/UBERON_0002488	helix of outer ear
http://purl.obolibrary.org/obo/HP_0001212	Prominent fingertip pads	http://purl.obolibrary.org/obo/UBERON_0009552	distal segment of manual digit
http://purl.obolibrary.org/obo/HP_0006641	Prominent floating ribs	http://purl.obolibrary.org/obo/UBERON_0002239	floating rib
http://purl.obolibrary.org/obo/HP_0006237	Prominent interphalangeal joints	http://purl.obolibrary.org/obo/UBERON_0006658	interphalangeal joint
http://purl.obolibrary.org/obo/HP_0005487	Prominent metopic ridge	http://purl.obolibrary.org/obo/UBERON_0002490	frontal suture
http://purl.obolibrary.org/obo/HP_0000426	Prominent nasal bridge	http://purl.obolibrary.org/obo/UBERON_0008340	nasal bridge
http://purl.obolibrary.org/obo/HP_0005322	Prominent nasal septum	http://purl.obolibrary.org/obo/UBERON_0001706	nasal septum
http://purl.obolibrary.org/obo/HP_0005274	Prominent nasal tip	http://purl.obolibrary.org/obo/UBERON_0012128	nose tip
http://purl.obolibrary.org/obo/HP_0004405	Prominent nipples	http://purl.obolibrary.org/obo/UBERON_0002030	nipple
http://purl.obolibrary.org/obo/HP_0000448	Prominent nose	http://purl.obolibrary.org/obo/UBERON_0000004	nose
http://purl.obolibrary.org/obo/HP_0000269	Prominent occiput	http://purl.obolibrary.org/obo/UBERON_0001676	occipital bone
http://purl.obolibrary.org/obo/HP_0006157	Prominent palmar flexion creases	http://purl.obolibrary.org/obo/UBERON_0019246	palmar skin crease
http://purl.obolibrary.org/obo/HP_0006167	Prominent proximal interphalangeal joints	http://purl.obolibrary.org/obo/UBERON_0009767	proximal interphalangeal joint
http://purl.obolibrary.org/obo/HP_0003246	Prominent scrotal raphe	http://purl.obolibrary.org/obo/UBERON_0017732	raphe of scrotum
http://purl.obolibrary.org/obo/HP_0000884	Prominent sternum	http://purl.obolibrary.org/obo/UBERON_0000975	sternum
http://purl.obolibrary.org/obo/HP_0004981	Prominent styloid process of ulna	http://purl.obolibrary.org/obo/UBERON_0011575	styloid process of ulna
http://purl.obolibrary.org/obo/HP_0001015	Prominent superficial veins	http://purl.obolibrary.org/obo/UBERON_0035550	superficial vein
http://purl.obolibrary.org/obo/HP_0011271	Prominent tragus	http://purl.obolibrary.org/obo/UBERON_0010887	tragus
http://purl.obolibrary.org/obo/HP_0001544	Prominent umbilicus	http://purl.obolibrary.org/obo/UBERON_0007118	umbilicus
http://purl.obolibrary.org/obo/HP_0100893	Prominent xiphoid process	http://purl.obolibrary.org/obo/UBERON_0002207	xiphoid process
http://purl.obolibrary.org/obo/HP_0000179	Thick lower lip vermilion	http://purl.obolibrary.org/obo/UBERON_0001835	lower lip
http://purl.obolibrary.org/obo/HP_0000215	Thick upper lip vermilion	http://purl.obolibrary.org/obo/UBERON_0001834	upper lip
