defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/HP_0002023	Anal atresia	http://purl.obolibrary.org/obo/UBERON_0001245	anus
http://purl.obolibrary.org/obo/HP_0010883	Aortic valve atresia	http://purl.obolibrary.org/obo/UBERON_0002137	aortic valve
http://purl.obolibrary.org/obo/HP_0040117	Atresia of the Eustachian tube	http://purl.obolibrary.org/obo/UBERON_0002393	pharyngotympanic tube
http://purl.obolibrary.org/obo/HP_0000413	Atresia of the external auditory canal	http://purl.obolibrary.org/obo/UBERON_0001352	external acoustic meatus
http://purl.obolibrary.org/obo/HP_0005912	Biliary atresia	http://purl.obolibrary.org/obo/UBERON_0001173	biliary tree
http://purl.obolibrary.org/obo/HP_0030715	Bronchial atresia	http://purl.obolibrary.org/obo/UBERON_0002185	bronchus
http://purl.obolibrary.org/obo/HP_0000453	Choanal atresia	http://purl.obolibrary.org/obo/UBERON_0004771	posterior nasal aperture
http://purl.obolibrary.org/obo/HP_0010448	Colonic atresia	http://purl.obolibrary.org/obo/UBERON_0001155	colon
http://purl.obolibrary.org/obo/HP_0004399	Congenital pyloric atresia	http://purl.obolibrary.org/obo/UBERON_0001166	pylorus
http://purl.obolibrary.org/obo/HP_0002247	Duodenal atresia	http://purl.obolibrary.org/obo/UBERON_0002114	duodenum
http://purl.obolibrary.org/obo/HP_0002032	Esophageal atresia	http://purl.obolibrary.org/obo/UBERON_0001043	esophagus
http://purl.obolibrary.org/obo/HP_0005242	Extrahepatic biliary duct atresia	http://purl.obolibrary.org/obo/UBERON_0003703	extrahepatic bile duct
http://purl.obolibrary.org/obo/HP_0002589	Gastrointestinal atresia	http://purl.obolibrary.org/obo/UBERON_0005409	alimentary part of gastrointestinal system
http://purl.obolibrary.org/obo/HP_0011102	Ileal atresia	http://purl.obolibrary.org/obo/UBERON_0002116	ileum
http://purl.obolibrary.org/obo/HP_0011100	Intestinal atresia	http://purl.obolibrary.org/obo/UBERON_0000160	intestine
http://purl.obolibrary.org/obo/HP_0005248	Intrahepatic biliary atresia	http://purl.obolibrary.org/obo/UBERON_0003704	intrahepatic bile duct
http://purl.obolibrary.org/obo/HP_0005235	Jejunal atresia	http://purl.obolibrary.org/obo/UBERON_0002115	jejunum
http://purl.obolibrary.org/obo/HP_0000564	Lacrimal duct atresia	http://purl.obolibrary.org/obo/UBERON_0001850	lacrimal drainage system
http://purl.obolibrary.org/obo/HP_0007820	Lacrimal punctal atresia	http://purl.obolibrary.org/obo/UBERON_0010284	lacrimal punctum
http://purl.obolibrary.org/obo/HP_0008750	Laryngeal atresia	http://purl.obolibrary.org/obo/UBERON_0001737	larynx
http://purl.obolibrary.org/obo/HP_0010643	Midnasal atresia	http://purl.obolibrary.org/obo/UBERON_0004110	midnasal cavity
http://purl.obolibrary.org/obo/HP_0004935	Pulmonary artery atresia	http://purl.obolibrary.org/obo/UBERON_0002012	pulmonary artery
http://purl.obolibrary.org/obo/HP_0010882	Pulmonary valve atresia	http://purl.obolibrary.org/obo/UBERON_0002146	pulmonary valve
http://purl.obolibrary.org/obo/HP_0025023	Rectal atresia	http://purl.obolibrary.org/obo/UBERON_0001052	rectum
http://purl.obolibrary.org/obo/HP_0100682	Tracheal atresia	http://purl.obolibrary.org/obo/UBERON_0003126	trachea
http://purl.obolibrary.org/obo/HP_0005999	Ureteral atresia	http://purl.obolibrary.org/obo/UBERON_0000056	ureter
http://purl.obolibrary.org/obo/HP_0000068	Urethral atresia	http://purl.obolibrary.org/obo/UBERON_0000057	urethra
http://purl.obolibrary.org/obo/HP_0000067	Urethral atresia, female	http://purl.obolibrary.org/obo/UBERON_0001334	female urethra
http://purl.obolibrary.org/obo/HP_0000052	Urethral atresia, male	http://purl.obolibrary.org/obo/UBERON_0001333	male urethra
http://purl.obolibrary.org/obo/HP_0000148	Vaginal atresia	http://purl.obolibrary.org/obo/UBERON_0000996	vagina
