defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	calcification_pattern	calcification_pattern_label
http://purl.obolibrary.org/obo/HP_0006619	Anterior rib punctate calcifications	http://purl.obolibrary.org/obo/UBERON_4100117	presacral rib	http://purl.obolibrary.org/obo/PATO_0001512	punctate
http://purl.obolibrary.org/obo/HP_0033538	Aortic annulus calcification	http://purl.obolibrary.org/obo/UBERON_0005991	aortic valve anulus	http://purl.obolibrary.org/obo/PATO_0001512	punctate
http://purl.obolibrary.org/obo/HP_0007229	Intracerebral periventricular calcifications	http://purl.obolibrary.org/obo/UBERON_0014932	periventricular white matter	http://purl.obolibrary.org/obo/PATO_0001512	punctate
http://purl.obolibrary.org/obo/HP_0025477	Periarticular calcification	http://purl.obolibrary.org/obo/UBERON_0000982	skeletal joint	http://purl.obolibrary.org/obo/PATO_0001512	punctate
http://purl.obolibrary.org/obo/HP_0008420	Punctate vertebral calcifications	http://purl.obolibrary.org/obo/UBERON_0002412	vertebra	http://purl.obolibrary.org/obo/PATO_0001512	punctate
http://purl.obolibrary.org/obo/HP_0006637	Sternal punctate calcifications	http://purl.obolibrary.org/obo/UBERON_0000975	sternum	http://purl.obolibrary.org/obo/PATO_0001512	punctate
http://purl.obolibrary.org/obo/HP_0004241	Stippled calcification in carpal bones	http://purl.obolibrary.org/obo/UBERON_0009880	carpal skeleton	http://purl.obolibrary.org/obo/PATO_0001512	punctate
http://purl.obolibrary.org/obo/HP_0004291	Stippled calcification of hand bones	http://purl.obolibrary.org/obo/UBERON_0005897	manus bone	http://purl.obolibrary.org/obo/PATO_0001512	punctate
http://purl.obolibrary.org/obo/HP_0003924	Stippled calcification of humeral metaphysis	http://purl.obolibrary.org/obo/UBERON_0013749	metaphysis of humerus	http://purl.obolibrary.org/obo/PATO_0001512	punctate
http://purl.obolibrary.org/obo/HP_0003941	Stippled calcification of the elbow	http://purl.obolibrary.org/obo/UBERON_0001461	elbow	http://purl.obolibrary.org/obo/PATO_0001512	punctate
http://purl.obolibrary.org/obo/HP_0003901	Stippled calcification of the humeral epiphyses	http://purl.obolibrary.org/obo/UBERON_0004382	epiphysis of humerus	http://purl.obolibrary.org/obo/PATO_0001512	punctate
http://purl.obolibrary.org/obo/HP_0003836	Stippled calcification of the shoulder	http://purl.obolibrary.org/obo/UBERON_0001467	shoulder	http://purl.obolibrary.org/obo/PATO_0001512	punctate
http://purl.obolibrary.org/obo/HP_0008838	Stippled calcification proximal humeral epiphyses	http://purl.obolibrary.org/obo/UBERON_0004411	proximal epiphysis of humerus	http://purl.obolibrary.org/obo/PATO_0001512	punctate
http://purl.obolibrary.org/obo/HP_0002764	Stippled chondral calcification	http://purl.obolibrary.org/obo/UBERON_0010996	articular cartilage of joint	http://purl.obolibrary.org/obo/PATO_0001512	punctate
http://purl.obolibrary.org/obo/HP_0008131	Tarsal stippling	http://purl.obolibrary.org/obo/UBERON_0001447	tarsal bone	http://purl.obolibrary.org/obo/PATO_0001512	punctate
