defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/HP_0010313	Breast hypertrophy	http://purl.obolibrary.org/obo/UBERON_0000310	breast
http://purl.obolibrary.org/obo/HP_0004490	Calvarial hyperostosis	http://purl.obolibrary.org/obo/UBERON_0004339	vault of skull
http://purl.obolibrary.org/obo/HP_0008665	Clitoral hypertrophy	http://purl.obolibrary.org/obo/UBERON_0002411	clitoris
http://purl.obolibrary.org/obo/HP_0004493	Craniofacial hyperostosis	http://purl.obolibrary.org/obo/UBERON_0011156	facial skeleton
http://purl.obolibrary.org/obo/HP_0012892	Facial muscle hypertrophy	http://purl.obolibrary.org/obo/UBERON_0001577	facial muscle
http://purl.obolibrary.org/obo/HP_0003099	Fibular overgrowth	http://purl.obolibrary.org/obo/UBERON_0001446	fibula
http://purl.obolibrary.org/obo/HP_0000293	Full cheeks	http://purl.obolibrary.org/obo/UBERON_0001567	cheek
http://purl.obolibrary.org/obo/HP_0005207	Gastric hypertrophy	http://purl.obolibrary.org/obo/UBERON_0000945	stomach
http://purl.obolibrary.org/obo/HP_0000212	Gingival overgrowth	http://purl.obolibrary.org/obo/UBERON_0001828	gingiva
http://purl.obolibrary.org/obo/HP_0005890	Hyperostosis cranialis interna	http://purl.obolibrary.org/obo/UBERON_0017692	internal surface of cranial base
http://purl.obolibrary.org/obo/HP_0004438	Hyperostosis frontalis interna	http://purl.obolibrary.org/obo/UBERON_0017690	internal surface of frontal bone
http://purl.obolibrary.org/obo/HP_0008608	Hypertrophic auricular cartilage	http://purl.obolibrary.org/obo/UBERON_0001848	auricular cartilage
http://purl.obolibrary.org/obo/HP_0007403	Hypertrophy of skin of soles	http://purl.obolibrary.org/obo/UBERON_0013778	skin of sole of pes
http://purl.obolibrary.org/obo/HP_0010496	Hypertrophy of the lower limb	http://purl.obolibrary.org/obo/UBERON_0000978	leg
http://purl.obolibrary.org/obo/HP_0010484	Hypertrophy of the upper limb	http://purl.obolibrary.org/obo/UBERON_0010708	pectoral complex
http://purl.obolibrary.org/obo/HP_0008635	Hypertrophy of the urinary bladder	http://purl.obolibrary.org/obo/UBERON_0001255	urinary bladder
http://purl.obolibrary.org/obo/HP_0000065	Labial hypertrophy	http://purl.obolibrary.org/obo/UBERON_0004084	genital labium
http://purl.obolibrary.org/obo/HP_0001712	Left ventricular hypertrophy	http://purl.obolibrary.org/obo/UBERON_0002084	heart left ventricle
http://purl.obolibrary.org/obo/HP_0004099	Macrodactyly	http://purl.obolibrary.org/obo/UBERON_0002389	manual digit
http://purl.obolibrary.org/obo/HP_0008968	Muscle hypertrophy of the lower extremities	http://purl.obolibrary.org/obo/UBERON_0010890	pelvic complex muscle
http://purl.obolibrary.org/obo/HP_0012893	Neck muscle hypertrophy	http://purl.obolibrary.org/obo/UBERON_0002377	muscle of neck
http://purl.obolibrary.org/obo/HP_0003247	Overgrowth of external genitalia	http://purl.obolibrary.org/obo/UBERON_0004176	external genitalia
http://purl.obolibrary.org/obo/HP_0005067	Proximal fibular overgrowth	http://purl.obolibrary.org/obo/UBERON_0008775	proximal epiphysis of fibula
http://purl.obolibrary.org/obo/HP_0001667	Right ventricular hypertrophy	http://purl.obolibrary.org/obo/UBERON_0002080	heart right ventricle
http://purl.obolibrary.org/obo/HP_0012895	Scapular muscle hypertrophy	http://purl.obolibrary.org/obo/UBERON_0034908	scapular muscle
http://purl.obolibrary.org/obo/HP_0005186	Synovial lining hyperplasia	http://purl.obolibrary.org/obo/UBERON_0002217	synovial joint
http://purl.obolibrary.org/obo/HP_0003733	Thigh hypertrophy	http://purl.obolibrary.org/obo/UBERON_0004252	hindlimb stylopod muscle
http://purl.obolibrary.org/obo/HP_0040265	Upper limb muscle hypertrophy	http://purl.obolibrary.org/obo/UBERON_0004481	musculature of upper limb
