defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/HP_0045079	Distal femoral metaphyseal irregularity	http://purl.obolibrary.org/obo/UBERON_0006864	distal metaphysis of femur
http://purl.obolibrary.org/obo/HP_0030293	Fibular metaphyseal irregularity	http://purl.obolibrary.org/obo/UBERON_0016928	metaphysis of fibula
http://purl.obolibrary.org/obo/HP_0003913	Humeral metaphyseal irregularity	http://purl.obolibrary.org/obo/UBERON_0013749	metaphysis of humerus
http://purl.obolibrary.org/obo/HP_0005041	Irregular capital femoral epiphysis	http://purl.obolibrary.org/obo/UBERON_0004412	proximal epiphysis of femur
http://purl.obolibrary.org/obo/HP_0004236	Irregular carpal bones	http://purl.obolibrary.org/obo/UBERON_0001435	carpal bone
http://purl.obolibrary.org/obo/HP_0006606	Irregular chondrocostal junctions	http://purl.obolibrary.org/obo/UBERON_0002293	costochondral joint
http://purl.obolibrary.org/obo/HP_0006407	Irregular distal femoral epiphysis	http://purl.obolibrary.org/obo/UBERON_0004406	distal epiphysis of femur
http://purl.obolibrary.org/obo/HP_0010582	Irregular epiphyses	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis
http://purl.obolibrary.org/obo/HP_0009190	Irregular epiphyses of the metacarpals	http://purl.obolibrary.org/obo/UBERON_0004390	epiphysis of metacarpal bone
http://purl.obolibrary.org/obo/HP_0010233	Irregular epiphyses of the phalanges of the hand	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus
http://purl.obolibrary.org/obo/HP_0010020	Irregular epiphysis of the 1st metacarpal	http://purl.obolibrary.org/obo/UBERON_0004391	epiphysis of first metacarpal bone
http://purl.obolibrary.org/obo/HP_0010154	Irregular epiphysis of the 1st metatarsal	http://purl.obolibrary.org/obo/UBERON_0004395	epiphysis of first metatarsal bone
http://purl.obolibrary.org/obo/HP_0006361	Irregular femoral epiphysis	http://purl.obolibrary.org/obo/UBERON_0004384	epiphysis of femur
http://purl.obolibrary.org/obo/HP_0003896	Irregular humeral epiphyses	http://purl.obolibrary.org/obo/UBERON_0004382	epiphysis of humerus
http://purl.obolibrary.org/obo/HP_0003796	Irregular iliac crest	http://purl.obolibrary.org/obo/UBERON_0014437	iliac crest
http://purl.obolibrary.org/obo/HP_0004034	Irregular olecranon	http://purl.obolibrary.org/obo/UBERON_0006810	olecranon
http://purl.obolibrary.org/obo/HP_0006456	Irregular proximal tibial epiphyses	http://purl.obolibrary.org/obo/UBERON_0008772	proximal epiphysis of tibia
http://purl.obolibrary.org/obo/HP_0004004	Irregular radial epiphyses	http://purl.obolibrary.org/obo/UBERON_0004385	epiphysis of radius
http://purl.obolibrary.org/obo/HP_0004688	Irregular tarsal bones	http://purl.obolibrary.org/obo/UBERON_0001447	tarsal bone
http://purl.obolibrary.org/obo/HP_0003301	Irregular vertebral endplates	http://purl.obolibrary.org/obo/UBERON_0014386	vertebral endplate
http://purl.obolibrary.org/obo/HP_0003025	Metaphyseal irregularity	http://purl.obolibrary.org/obo/UBERON_0001438	metaphysis
http://purl.obolibrary.org/obo/HP_0003411	Proximal femoral metaphyseal irregularity	http://purl.obolibrary.org/obo/UBERON_0006863	proximal metaphysis of femur
http://purl.obolibrary.org/obo/HP_0004019	Radial metaphyseal irregularity	http://purl.obolibrary.org/obo/UBERON_0013751	metaphysis of radius
http://purl.obolibrary.org/obo/HP_0030292	Tibial metaphyseal irregularity	http://purl.obolibrary.org/obo/UBERON_0013750	metaphysis of tibia
http://purl.obolibrary.org/obo/HP_0004042	Ulnar metaphyseal irregularity	http://purl.obolibrary.org/obo/UBERON_0013748	ulnar metaphysis
