source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status	translator	translator_expertise	comment	translation_date
en	Vocal cord paresis	HP:0001604	rdfs:label	de	Stimmbandparese	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Vocal cord paralysis	HP:0001605	rdfs:label	de	Stimmbandlähmung	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Abnormality of the voice	HP:0001608	rdfs:label	de	Stimmstörung	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Hoarse voice	HP:0001609	rdfs:label	de	Heisere Stimme	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Hypernasal speech	HP:0001611	rdfs:label	de	hypernasale Sprache	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Weak cry	HP:0001612	rdfs:label	de	Schwaches Weinen	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Hoarse cry	HP:0001615	rdfs:label	de	Heiserer Schrei	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Dysphonia	HP:0001618	rdfs:label	de	Dysphonie	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Weak voice	HP:0001621	rdfs:label	de	Schwache Stimme	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Loss of voice	HP:0001686	rdfs:label	de	Stimmverlust	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Imperfect vocal cord adduction	HP:0005934	rdfs:label	de	Unvollständige Stimmlippenadduktion	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Pseudobulbar paralysis	HP:0007024	rdfs:label	de	Pseudobulbäre Paralyse	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Unilateral vocal cord paralysis	HP:0008757	rdfs:label	de	Einseitige Stimmbandlähmung	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Speech articulation difficulties	HP:0009088	rdfs:label	de	Sprechartikulationsschwierigkeiten	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Laryngeal dystonia	HP:0012049	rdfs:label	de	Laryngeale Dystonie	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Bilateral vocal cord paralysis	HP:0012820	rdfs:label	de	bilaterale Stimmbandlähmung	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Unilateral vocal cord paresis	HP:0012821	rdfs:label	de	Einseitige Stimmlippenparese	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Bilateral vocal cord paresis	HP:0012822	rdfs:label	de	Bilaterale Stimmlippenparese	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Abnormal cry	HP:0025429	rdfs:label	de	Ungewöhnliches Geschrei	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	High-pitched cry	HP:0025430	rdfs:label	de	hochfrequenter Schrei	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Staccato cry	HP:0025431	rdfs:label	de	Stakkato-Schrei	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Vocal cord dysfunction	HP:0031801	rdfs:label	de	Stimmbanddysfunktion	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Hyponasal speech	HP:0100271	rdfs:label	de	hyponasale Sprache	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Cat cry	HP:0200046	rdfs:label	de	Katzenweinen	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Pronunciation difficulties	HP:5200237	rdfs:label	de	Ausspracheschwierigkeiten	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Vowel expressive impediment	HP:5200238	rdfs:label	de	Vokalausdrucksstörung	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
en	Consonant expressive impediment	HP:5200239	rdfs:label	de	Konsonantischer Ausdruckshemmnis	CANDIDATE	wikidata:Q116709136	ALGORITHM	gpt-4-turbo-preview	2024-02-29
