source_language	translation_language	subject_id	source_value	predicate_id	translation_value	translation_status
en	es	HP:0000008	Abnormality of female internal genitalia	rdfs:label	Anomalía de los genitales internos femeninos	OFFICIAL
en	es	HP:0000022	Abnormality of male internal genitalia	rdfs:label	Anomalía de los genitales internos masculinos	OFFICIAL
en	es	HP:0000032	Abnormality of male external genitalia	rdfs:label	Anomalía de los genitales externos masculinos	OFFICIAL
en	es	HP:0000036	Abnormality of the penis	rdfs:label	Anomalía del pene	OFFICIAL
en	es	HP:0000044	Hypogonadotrophic hypogonadism	rdfs:label	Hipogonadismo hipogonadotrófico	OFFICIAL
en	es	HP:0000045	Abnormality of the scrotum	rdfs:label	Anomalía del escroto	OFFICIAL
en	es	HP:0000046	Scrotal hypoplasia	rdfs:label	Hipoplasia escrotal	OFFICIAL
en	es	HP:0000055	Abnormality of female external genitalia	rdfs:label	Anomalía de los genitales externos femeninos	OFFICIAL
en	es	HP:0000056	Abnormality of the clitoris	rdfs:label	Anomalía del clítoris	OFFICIAL
en	es	HP:0000058	Abnormality of the labia	rdfs:label	Anomalía de los labios	OFFICIAL
en	es	HP:0000092	Tubular atrophy	rdfs:label	Atrofia tubular	OFFICIAL
en	es	HP:0000095	Abnormality of renal glomerulus morphology	rdfs:label	Anomalía del glomérulo	OFFICIAL
en	es	HP:0000096	Glomerulosclerosis	rdfs:label	Glomeruloesclerosis	OFFICIAL
en	es	HP:0000161	Median cleft lip	rdfs:label	Hendidura central de labio	OFFICIAL
en	es	HP:0000172	Abnormality of the uvula	rdfs:label	Anomalía de la úvula	OFFICIAL
en	es	HP:0000177	Abnormality of upper lip	rdfs:label	Anomalía del labio superior	OFFICIAL
en	es	HP:0000178	Abnormality of lower lip	rdfs:label	Anomalía del labio inferior	OFFICIAL
en	es	HP:0000183	Difficulty in tongue movements	rdfs:label	Dificultad en los movimientos de la lengua	OFFICIAL
en	es	HP:0000202	Oral cleft	rdfs:label	Hendidura oral	OFFICIAL
en	es	HP:0000224	Decreased taste sensation	rdfs:label	Disminución del sentido del gusto	OFFICIAL
en	es	HP:0000235	Abnormality of the fontanelles or cranial sutures	rdfs:label	Anomalía de las fontanelas y suturas craneales	OFFICIAL
en	es	HP:0000236	Abnormality of the anterior fontanelle	rdfs:label	Anomalía de la fontanela anterior	OFFICIAL
en	es	HP:0000245	Abnormality of the paranasal sinuses	rdfs:label	Anomalía de los senos	OFFICIAL
en	es	HP:0000264	Abnormality of the mastoid	rdfs:label	Anomalía de la mastoides	OFFICIAL
en	es	HP:0000277	Abnormality of the mandible	rdfs:label	Anomalía de la mandíbula	OFFICIAL
en	es	HP:0000290	Abnormality of the forehead	rdfs:label	Anomalía de la frente	OFFICIAL
en	es	HP:0000309	Abnormality of the midface	rdfs:label	Anomalía del tercio medio facial	OFFICIAL
en	es	HP:0000326	Abnormality of the maxilla	rdfs:label	Anomalía del maxilar	OFFICIAL
en	es	HP:0000363	Abnormality of earlobe	rdfs:label	Anomalía del lóbulo de la oreja	OFFICIAL
