source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status	translator	translator_expertise	translation_date
en	Absence of any measurable level of sperm in his semen	HP:0000027	IAO:0000115	nl	Ontbreken van een meetbare hoeveelheid spermacellen in zijn semen	CANDIDATE			
en	An abnormality of male external genitalia	HP:0000032	IAO:0000115	nl	Een afwijking van mannelijke externe genitaliën	CANDIDATE			
en	Abnormality of male external genitalia	HP:0000032	rdfs:label	nl	Afwijking van mannelijke externe genitaliën	CANDIDATE			
en	Ventral, lateral, or ventrolateral bowing of the shaft and glans penis of more than 30 degrees	HP:0000041	IAO:0000115	nl	Ventral, lateral, or ventrolateral bowing of the shaft and glans penis of more than 30 degrees	NOT_TRANSLATED			
en	Abnormality of the scrotum	HP:0000045	rdfs:label	nl	Afwijking van het scrotum	CANDIDATE			
en	An abnormality of the female external genitalia	HP:0000055	IAO:0000115	nl	Een afwijking van de vrouwelijke externe genitaliën	CANDIDATE			
en	Abnormality of female external genitalia	HP:0000055	rdfs:label	nl	Afwijking van vrouwelijke externe genitaliën	CANDIDATE			
en	An abnormality of the clitoris	HP:0000056	IAO:0000115	nl	Een afwijking van de clitoris	CANDIDATE			
en	Abnormality of the clitoris	HP:0000056	rdfs:label	nl	Afwijking van de clitoris	CANDIDATE			
en	Aplasia of the uterus	HP:0000151	IAO:0000115	nl	Aplasie van de uterus	CANDIDATE			
en	Median cleft lip	HP:0000161	rdfs:label	nl	Mediaan gespleten lip	CANDIDATE			
en	Difficulty in tongue movements	HP:0000183	rdfs:label	nl	Moeite met bewegingen van de tong	CANDIDATE			
