source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status
en	part of	BFO:0000050	rdfs:label	zh		NOT_TRANSLATED
en	Deviation from the norm of height with respect to that which is expected according to age and gender norms.	HP:0000002	IAO:0000115	zh		NOT_TRANSLATED
en	Multicystic dysplasia of the kidney is characterized by multiple cysts of varying size in the kidney and the absence of a normal pelvicaliceal system. The condition is associated with ureteral or ureteropelvic atresia, and the affected kidney is nonfunctional.	HP:0000003	IAO:0000115	zh		NOT_TRANSLATED
en	The pattern in which a particular genetic trait or disorder is passed from one generation to the next.	HP:0000005	IAO:0000115	zh		NOT_TRANSLATED
en	A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele.	HP:0000006	IAO:0000115	zh		NOT_TRANSLATED
en	A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in individuals with two pathogenic alleles, either homozygotes (two copies of the same mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele).	HP:0000007	IAO:0000115	zh		NOT_TRANSLATED
en	An abnormality of the female internal genitalia.	HP:0000008	IAO:0000115	zh		NOT_TRANSLATED
en	Dysfunction of the urinary bladder.	HP:0000009	IAO:0000115	zh		NOT_TRANSLATED
en	Repeated infections of the urinary tract.	HP:0000010	IAO:0000115	zh		NOT_TRANSLATED
en	A type of bladder dysfunction caused by neurologic damage. Neurogenic bladder can be flaccid or spastic. Common manifestatios of neurogenic bladder are overflow incontinence, frequency, urgency, urge incontinence, and retention.	HP:0000011	IAO:0000115	zh		NOT_TRANSLATED
en	Urge incontinence is the strong, sudden need to urinate.	HP:0000012	IAO:0000115	zh		NOT_TRANSLATED
en	Underdevelopment of the uterus.	HP:0000013	IAO:0000115	zh		NOT_TRANSLATED
en	An abnormality of the urinary bladder.	HP:0000014	IAO:0000115	zh		NOT_TRANSLATED
en	Diverticulum (sac or pouch) in the wall of the urinary bladder.	HP:0000015	IAO:0000115	zh		NOT_TRANSLATED
en	Inability to completely empty the urinary bladder during the process of urination.	HP:0000016	IAO:0000115	zh		NOT_TRANSLATED
en	Abnormally increased production of urine during the night leading to an unusually frequent need to urinate.	HP:0000017	IAO:0000115	zh		NOT_TRANSLATED
en	Difficulty in beginning the process of urination.	HP:0000019	IAO:0000115	zh		NOT_TRANSLATED
en	Loss of the ability to control the urinary bladder leading to involuntary urination.	HP:0000020	IAO:0000115	zh		NOT_TRANSLATED
en	Dilatation of the bladder postnatally.	HP:0000021	IAO:0000115	zh		NOT_TRANSLATED
en	An abnormality of the male internal genitalia.	HP:0000022	IAO:0000115	zh		NOT_TRANSLATED
en	Protrusion of the contents of the abdominal cavity through the inguinal canal.	HP:0000023	IAO:0000115	zh		NOT_TRANSLATED
en	The presence of inflammation of the prostate.	HP:0000024	IAO:0000115	zh		NOT_TRANSLATED
en	Decreased functionality of the male gonad, i.e., of the testis, with reduced spermatogenesis or testosterone synthesis.	HP:0000026	IAO:0000115	zh		NOT_TRANSLATED
en	Absence of any measurable level of sperm,whereby spermatozoa cannot be observed even after centrifugation of the semen pellet.	HP:0000027	IAO:0000115	zh		NOT_TRANSLATED
en	Testis in inguinal canal. That is, absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the scrotum.	HP:0000028	IAO:0000115	zh		NOT_TRANSLATED
en	Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility.	HP:0000029	IAO:0000115	zh		NOT_TRANSLATED
en	The presence of a gonadoblastoma of the testis.	HP:0000030	IAO:0000115	zh		NOT_TRANSLATED
en	The presence of inflammation of the epididymis.	HP:0000031	IAO:0000115	zh		NOT_TRANSLATED
en	Any structural abnormality of male external genitalia.	HP:0000032	IAO:0000115	zh		NOT_TRANSLATED
en	Ambiguous genitalia in an individual with XY genetic gender.	HP:0000033	IAO:0000115	zh		NOT_TRANSLATED
en	Accumulation of clear fluid in the between the layers of membrane (tunica vaginalis) surrounding the testis.	HP:0000034	IAO:0000115	zh		NOT_TRANSLATED
en	An anomaly of the testicle (the male gonad).	HP:0000035	IAO:0000115	zh		NOT_TRANSLATED
en	Abnormality of the male external sex organ.	HP:0000036	IAO:0000115	zh		NOT_TRANSLATED
en	Hermaphroditism refers to a discrepancy between the morphology of the gonads and that of the external genitalia. In male pseudohermaphroditism, the genotype is male (XY) and the external genitalia are imcompletely virilized, ambiguous, or complete female. If gonads are present, they are testes.	HP:0000037	IAO:0000115	zh		NOT_TRANSLATED
en	Epispadias is a urogenital malformation characterized by the failure of the urethral tube to tubularize on the dorsal aspect. Unlike in hypospadias, where the meatus is on the ventral aspect, children with epispadias have a wide-open urethral plate on the dorsum. It is commonly seen as a component in the spectrum of bladder exstrophy-epispadias-complex. Isolated epispadias constitutes less than 10 percent of the total cases of epispadias.	HP:0000039	IAO:0000115	zh		NOT_TRANSLATED
en	Penile length more than 2 SD above the mean for age.	HP:0000040	IAO:0000115	zh		NOT_TRANSLATED
en	Ventral, lateral, or ventrolateral bowing of the shaft and glans penis of more than 30 degrees.	HP:0000041	IAO:0000115	zh		NOT_TRANSLATED
en	Lack of external genitalia in a male or female individual.	HP:0000042	IAO:0000115	zh		NOT_TRANSLATED
en	Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH).	HP:0000044	IAO:0000115	zh		NOT_TRANSLATED
en	Any structural abnormality of the scrotum, i.e., the sac that contains the testes, epididymis, and the lower part of the spermatic cord.	HP:0000045	IAO:0000115	zh		NOT_TRANSLATED
en	Apparently small scrotum for age.	HP:0000046	IAO:0000115	zh		NOT_TRANSLATED
en	Abnormal position of urethral meatus on the ventral penile shaft (underside) characterized by displacement of the urethral meatus from the tip of the glans penis to the ventral surface of the penis, scrotum, or perineum.	HP:0000047	IAO:0000115	zh		NOT_TRANSLATED
en	Midline indentation or cleft of the scrotum.	HP:0000048	IAO:0000115	zh		NOT_TRANSLATED
en	Superior margin of the scrotum superior to the base of the penis.	HP:0000049	IAO:0000115	zh		NOT_TRANSLATED
en	Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra).	HP:0000050	IAO:0000115	zh		NOT_TRANSLATED
en	Hypospadias with location of the urethral meatus in the perineal region.	HP:0000051	IAO:0000115	zh		NOT_TRANSLATED
en	Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males.	HP:0000052	IAO:0000115	zh		NOT_TRANSLATED
en	The presence of abnormally large testes.	HP:0000053	IAO:0000115	zh		NOT_TRANSLATED
en	Abnormally small penis. At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm.	HP:0000054	IAO:0000115	zh		NOT_TRANSLATED
en	Any structural abnormality of the female external genitalia.	HP:0000055	IAO:0000115	zh		NOT_TRANSLATED
en	Any structural abnormality of the clitoris.	HP:0000056	IAO:0000115	zh		NOT_TRANSLATED
en	An anomaly of the labia, the externally visible portions of the vulva.	HP:0000058	IAO:0000115	zh		NOT_TRANSLATED
en	Undergrowth of the outer labia.	HP:0000059	IAO:0000115	zh		NOT_TRANSLATED
